Scan,Date,Time,Longitude,Latitude,Depth,Temperature,Salinity
1.5,2008-10-28,01:43:57,64.03,-21.644,0,23.541000366210937,35.35100173950195
1.5,2008-11-07,02:17:07,64.198,-21.28,0,24.594499588012695,35.0369987487793
1.5,2008-11-17,02:30:18,64.068,-21.01,0,24.9685001373291,35.03499984741211
1.5,2008-11-27,02:37:35,63.607,-21.102,0,25.710000038146973,34.97600173950195
1.5,2008-12-07,05:03:59,63.429,-21.253,0,26.105000495910645,35.03300094604492
1.5,2008-12-17,03:03:40,63.322,-21.458,0,27.038500785827637,35.13399887084961
1.5,2008-12-27,05:09:53,63.472,-21.558,0,26.720999717712402,35.08549880981445
1.5,2009-01-06,02:40:37,63.901,-21.599,0,28.378000259399414,35.07800102233887
1.5,2009-01-16,04:57:04,64.447,-21.493,0,27.99049949645996,35.12300109863281
1.5,2009-01-26,02:30:53,64.835,-21.207,0,28.072999954223633,34.95800018310547
1.5,2009-02-05,05:04:46,65.007,-21.117,0,28.505499839782715,35.07149887084961
1.5,2009-02-15,02:56:42,65.035,-21.166,0,28.911499977111816,35.09450149536133
1.5,2009-02-25,05:02:52,65.009,-21.44,0,28.315500259399414,35.169498443603516
1.5,2009-03-07,02:35:06,65.043,-21.706,0,28.279500007629395,35.08599853515625
1.5,2009-03-17,04:55:53,65.075,-21.939,0,27.807000160217285,35.18949890136719
1.5,2009-03-27,02:27:43,64.91,-22.145,0,27.63949966430664,35.22600173950195
1.5,2009-04-06,05:00:04,64.694,-22.385,0,27.87649917602539,35.176998138427734
1.5,2009-04-16,02:43:30,64.424,-22.554,0,27.427000045776367,35.24250030517578
1.5,2009-04-26,05:03:04,64.172,-22.623,0,26.786999702453613,35.231998443603516
1.5,2009-05-06,02:38:59,63.797,-22.501,0,26.52199935913086,35.22700119018555
1.5,2009-05-16,04:56:50,63.299,-22.415,0,26.11400032043457,35.26300048828125
1.5,2009-05-26,02:16:11,62.668,-22.404,0,25.33650016784668,35.26150131225586
1.5,2009-06-05,04:55:35,62.064,-22.302,0,25.200499534606934,35.25349998474121
1.5,2009-06-15,02:31:41,61.522,-22.083,0,24.652999877929688,35.29399871826172
1.5,2009-06-25,04:34:06,61.091,-21.725,0,24.20050048828125,35.33000183105469
1.5,2009-07-05,02:28:24,60.675,-21.512,0,23.55900001525879,35.33700180053711
1.5,2009-07-15,04:42:14,60.426,-21.29,0,23.288999557495117,35.249000549316406
1.5,2009-07-25,02:36:39,60.23,-21.316,0,23.859000205993652,34.867000579833984
1.5,2009-08-04,04:42:47,59.968,-21.64,0,23.442999839782715,35.08250045776367
1.5,2009-08-14,03:01:33,59.544,-21.813,0,23.005000114440918,35.173500061035156
1.5,2009-08-24,04:44:41,58.941,-21.817,0,22.87950038909912,35.17049980163574
1.5,2009-09-03,03:34:30,58.35,-21.79,0,23.286499977111816,35.0260009765625
1.5,2009-09-13,04:53:19,57.86,-21.771,0,23.59249973297119,34.894500732421875
1.5,2009-09-23,04:25:58,57.339,-21.745,0,23.92799949645996,34.91699981689453
1.5,2009-10-03,02:05:21,56.952,-21.647,0,23.732500076293945,34.935001373291016
1.5,2009-10-13,04:31:25,56.536,-21.445,0,23.88800048828125,35.03499984741211
1.5,2009-10-23,04:45:53,56.216,-21.378,0,25.11900043487549,34.94899940490723
1.5,2009-11-02,04:22:02,55.767,-20.941,0,25.13350009918213,34.95949935913086
1.5,2009-11-12,02:24:40,55.278,-20.522,0,25.548500061035156,34.888999938964844
1.5,2009-11-22,03:48:02,55.005,-20.424,0,25.76650047302246,34.91400146484375
1.5,2009-12-02,04:57:45,54.602,-20.554,0,26.05049991607666,35
1.5,2009-12-12,03:42:48,55.197,-20.539,0,26.97100067138672,34.996999740600586
1.5,2009-12-22,04:46:19,55.308,-20.341,0,27.765000343322754,35.04600143432617
1.5,2010-01-01,02:31:27,55.118,-20.135,0,27.474000930786133,35.02899932861328
1.5,2010-01-11,05:03:59,54.815,-20.07,0,27.65850067138672,34.91299819946289
1.5,2010-01-21,05:05:19,54.433,-19.952,0,28.253000259399414,34.895999908447266
1.5,2010-01-31,02:34:20,54.321,-19.776,0,29.19499969482422,34.974998474121094
1.5,2010-02-10,04:55:10,54.985,-20.056,0,28.901000022888184,34.95750045776367
1.5,2010-02-20,04:58:33,55.892,-19.751,0,28.350000381469727,34.970001220703125
1.5,2010-03-02,05:01:53,55.604,-19.077,0,29.222500801086426,34.86349868774414
1.5,2010-03-12,02:37:09,55.105,-19.217,0,29.013500213623047,34.87799835205078
1.5,2010-03-22,04:27:39,55.274,-19.499,0,28.574999809265137,34.67100143432617
1.5,2010-04-01,04:55:31,55.838,-19.524,0,28.59500026702881,34.8390007019043
1.5,2010-04-11,04:32:46,56.234,-19.71,0,28.512999534606934,34.76850128173828
1.5,2010-04-21,02:25:19,56.204,-19.392,0,28.02050018310547,34.797000885009766
1.5,2010-05-01,04:54:43,56.132,-18.679,0,27.972999572753906,34.74049949645996
1.5,2010-05-11,02:24:50,56.56,-18.174,0,27.87849998474121,34.66699981689453
1.5,2010-05-21,05:04:39,56.723,-18.572,0,27.38700008392334,34.566001892089844
1.5,2010-05-31,02:03:39,56.426,-19.018,0,26.987000465393066,34.62649917602539
1.5,2010-06-10,04:55:12,56.187,-19.18,0,26.453499794006348,34.96099853515625
1.5,2010-06-20,02:29:08,56.19,-18.686,0,26.15999984741211,34.5880012512207
1.5,2010-06-30,05:03:47,56.002,-18.006,0,25.787500381469727,34.64200019836426
1.5,2010-07-10,02:25:33,56.2,-17.29,0,25.015000343322754,34.75600051879883
1.5,2010-07-20,04:01:16,56.708,-17.107,0,24.947999954223633,34.7760009765625
1.5,2010-07-30,04:54:28,56.7,-18.207,0,24.66950035095215,34.802499771118164
1.5,2010-08-09,05:03:15,55.546,-19.422,0,24.446499824523926,34.83000183105469
1.5,2010-08-19,02:05:43,54.414,-20.086,0,24.416000366210937,34.811500549316406
1.5,2010-08-29,03:59:50,53.466,-20.914,0,24.330500602722168,34.827999114990234
1.5,2010-09-08,04:53:58,52.552,-20.605,0,24.67199993133545,34.815500259399414
1.5,2010-09-18,03:48:31,50.893,-21.356,0,24.47350025177002,34.88800048828125
1.5,2010-09-28,04:52:14,51.034,-21.94,0,24.80150032043457,34.89799880981445
1.5,2010-10-08,03:25:59,51.6,-21.207,0,24.649999618530273,35.059499740600586
1.5,2010-10-18,04:51:30,52.271,-20.986,0,25.00749969482422,35.00450134277344
1.5,2010-10-28,02:33:30,52.241,-20.559,0,25.610499382019043,34.95500183105469
1.5,2010-11-07,04:53:12,51.949,-20.541,0,26.312000274658203,34.89299964904785
1.5,2010-11-17,03:50:17,51.87,-20.811,0,26.46950054168701,35.0004997253418
1.5,2010-11-27,04:54:04,51.685,-20.193,0,26.62150001525879,35.0310001373291
1.5,2010-12-07,02:31:42,50.832,-19.079,0,27.252999305725098,35.072500228881836
1.5,2010-12-17,04:58:14,50.515,-19.191,0,27.598000526428223,35.12249946594238
1.5,2010-12-27,02:51:39,50.354,-18.888,0,28.26200008392334,35.12099838256836
1.5,2011-01-06,04:57:13,50.249,-18.207,0,28.48799991607666,35.04499816894531
1.5,2011-01-16,03:12:55,50.563,-16.941,0,28.64050006866455,34.79999923706055
1.5,2011-01-26,04:56:57,51.916,-16.553,0,28.113999366760254,35.020498275756836
1.5,2011-02-05,02:57:41,51.95,-16.651,0,28.720499992370605,35.058000564575195
1.5,2011-02-15,04:51:52,52.347,-16.196,0,25.02750015258789,34.89899826049805
1.5,2011-02-25,04:55:17,52.39,-15.959,0,28.2839994430542,34.96100044250488
1.5,2011-03-07,02:42:29,52.343,-16.214,0,28.910500526428223,34.8390007019043
1.5,2011-03-17,03:09:43,52.456,-16.01,0,28.69950008392334,34.922000885009766
1.5,2011-03-27,05:09:02,52.711,-15.372,0,28.716500282287598,35.108001708984375
1.5,2011-04-06,02:32:19,53.015,-14.926,0,28.61199951171875,35.03049850463867
1.5,2011-04-16,04:57:56,52.924,-14.732,0,28.626500129699707,34.88199996948242
1.5,2011-04-26,02:45:07,52.832,-14.697,0,28.57349967956543,34.60499954223633
1.5,2011-05-06,04:57:41,52.394,-15.576,0,28.314000129699707,34.66749954223633
1.5,2011-05-16,02:40:07,52.651,-15.955,0,27.852499961853027,34.817501068115234
1.5,2011-05-26,05:05:04,52.768,-15.79,0,27.447999954223633,34.75600051879883
1.5,2011-06-05,02:15:34,53.57,-15.443,0,26.8410005569458,34.842498779296875
1.5,2011-06-15,05:04:02,53.751,-15.992,0,26.595999717712402,34.944000244140625
1.5,2011-06-25,03:14:29,53.603,-16.461,0,26.505000114440918,34.94200134277344
1.5,2011-07-05,04:56:49,53.024,-16.651,0,25.90999984741211,34.970001220703125
1.5,2011-07-15,03:03:16,52.407,-16.468,0,25.65399932861328,35.00849914550781
1.5,2011-07-25,04:28:01,51.919,-16.48,0,25.333499908447266,35.03900146484375
1.5,2011-08-04,04:43:58,51.405,-16.396,0,25.22350025177002,35.03849983215332
1.5,2011-08-14,04:37:47,51.073,-16.141,0,25.267000198364258,35.060001373291016
1.5,2011-08-24,04:34:53,50.816,-15.077,0,25.20599937438965,35.07600021362305
1.5,2011-09-03,04:38:45,50.962,-13.758,0,24.85700035095215,35.11899948120117
